line_item,order_id,date_submitted,month_submitted,department,discount_amount,product_name,product_id,qty,price,category,color,size
18,20767,1/4/2021,January,MCHS Department of Nursing,0,MICRO FLEECE JACKET (SONOMA),8870,1,40,Ladies',Charcoal,3XL
19,20768,1/4/2021,January,Division of Hand Surgery,0,LIGHTWEIGHT SOFT-SHELL (SONIC FLEX),9470,1,64,Ladies',Black,S
20,20769,1/5/2021,January,MCHS Department of Nursing,0,LIGHTWEIGHT SOFT-SHELL (SONIC FLEX),9470,1,68,Ladies',Black,2XL
21,20770,1/5/2021,January,MCHS Department of Nursing,0,LIGHTWEIGHT SOFT-SHELL (SONIC FLEX),9470,1,64,Ladies',Black,M
22,20771,1/5/2021,January,MCHS,0,BONDED SOFT-SHELL JACKET (MATRIX),9902,1,78,Ladies',Black/Charcoal,M
23,20772,1/5/2021,January,MCHS Department of Nursing,0,HOODED TECH FULL-ZIP SWEATSHIRT (COMPETITION),2882,1,50,Ladies',Heather Blue,L
24,20773,1/5/2021,January,MCHS Department of Nursing,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,60,Ladies',Royal Blue,2XL
25,20774,1/5/2021,January,MCHS,0,SWEATER KNIT FLEECE  (ASHTON),9892,1,62,Ladies',Heather Teal,L
26,20775,1/5/2021,January,MCHS Department of Nursing,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Royal Blue,S
27,20776,1/5/2021,January,Medical Cardiology Progressive Care,0,BONDED SOFT-SHELL JACKET (MATRIX),9902,1,78,Ladies',Carbon,XL
28,20777,1/6/2021,January,Medical Cardiology Progressive Care,0,MICRO FLEECE JACKET (SONOMA),8870,1,34,Ladies',Navy,M
29,20778,1/6/2021,January,Family Clinic SE,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Black,L
30,20779,1/6/2021,January,MCHS Department of Nursing,0,MICRO FLEECE JACKET (NANTUCKET),8824,1,38,Men's,Black,L
31,20780,1/6/2021,January,Inpatient Dialysis,0,MICRO FLEECE JACKET (SONOMA),8870,1,34,Ladies',Eggplant,L
32,20780,1/6/2021,January,Inpatient Dialysis,0,LIGHTWEIGHT SOFT-SHELL (SONIC FLEX),9470,1,64,Ladies',Black,L
33,20781,1/7/2021,January,MCHS Department of Nursing,0,BONDED SOFT-SHELL JACKET (MATRIX),9901,1,78,Men's,Royal Blue,L
34,20782,1/7/2021,January,MCHS Department of Nursing,0,HOODED TECH FULL-ZIP SWEATSHIRT (COMPETITION),2882,1,50,Ladies',Dark Ash,M
35,20783,1/7/2021,January,MCHS Department of Nursing,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Royal Blue,XL
36,20784,1/7/2021,January,MCHS Department of Nursing,0,LIGHTWEIGHT SOFT-SHELL (SONIC FLEX),9470,1,64,Ladies',Black,L
37,20785,1/7/2021,January,Department of Pharmacy,0,MICRO FLEECE JACKET (NANTUCKET),8824,1,40,Men's,Charcoal,2XL
38,20786,1/7/2021,January,MCHS Department of Nursing,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Royal Blue,M
39,20787,1/7/2021,January,MCHS Department of Nursing,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Royal Blue,L
40,20788,1/7/2021,January,MCHS Department of Nursing,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Black,L
41,20789,1/7/2021,January,Inpatient Dialysis,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Royal Blue,XL
42,20790,1/7/2021,January,MCHS Department of Nursing,0,BONDED SOFT-SHELL JACKET (MATRIX),9902,1,78,Ladies',Cream/Charcoal,XL
43,20791,1/7/2021,January,MCHS,0,HOODED TECH FULL-ZIP SWEATSHIRT (COMPETITION),2882,1,50,Ladies',Black,L
44,20792,1/7/2021,January,MCHS,0,HOODED TECH FULL-ZIP SWEATSHIRT (COMPETITION),2882,1,50,Ladies',Dark Ash,L
45,20793,1/7/2021,January,MCHS,0,MARLED FLEECE JACKET  (CASCADE),8874,1,60,Men's,Dark Blue,XL
46,20794,1/7/2021,January,MCHS Department of Nursing,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Royal Blue,M
47,20795,1/7/2021,January,MCHS Department of Nursing,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Black,XL
48,20796,1/7/2021,January,Outpatient Procedure Center,0,HOODED TECH FULL-ZIP SWEATSHIRT (COMPETITION),2882,1,50,Ladies',Black,XL
49,20796,1/7/2021,January,Outpatient Procedure Center,0,BONDED SOFT-SHELL JACKET (MATRIX),9902,1,78,Ladies',Heather Eggplant,XL
50,20797,1/7/2021,January,Outpatient Procedure Center,0,HOODED TECH FULL-ZIP SWEATSHIRT (COMPETITION),2882,1,50,Ladies',Black,XL
51,20798,1/7/2021,January,MCHS Department of Nursing,0,SWEATER KNIT FLEECE  (ASHTON),9892,1,62,Ladies',Heather Indigo,L
52,20799,1/7/2021,January,MCHS,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Royal Blue,XL
53,20800,1/7/2021,January,MCHS Department of Nursing,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Royal Blue,M
54,20800,1/7/2021,January,MCHS Department of Nursing,0,MICRO FLEECE JACKET (SONOMA),8870,1,34,Ladies',Dark Ash,S
55,20801,1/7/2021,January,MCHS Department of Nursing,0,SWEATER KNIT FLEECE  (ASHTON),9892,1,62,Ladies',Heather Indigo,XL
56,20802,1/7/2021,January,MCHS Department of Nursing,0,BONDED POLY-KNIT JACKET (FLASH),2814,1,58,Men's,Black,M
57,20803,1/7/2021,January,MCHS Department of Nursing,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,60,Ladies',Black,2XL
58,20803,1/7/2021,January,MCHS Department of Nursing,0,HOODED TECH FULL-ZIP SWEATSHIRT (COMPETITION),2882,1,53,Ladies',Heather Blue,2XL
59,20804,1/7/2021,January,MCHS Department of Nursing,0,SWEATER KNIT FLEECE (ASHTON),9890,1,62,Men's,Heather Athletic Grey,L
60,20805,1/7/2021,January,MCHS Department of Nursing,0,LIGHTWEIGHT SOFT-SHELL (SONIC FLEX),9470,1,64,Ladies',Black,M
61,20806,1/7/2021,January,Family Clinic SE,0,HOODED TECH FULL-ZIP SWEATSHIRT (COMPETITION),2882,1,53,Ladies',Black,2XL
62,20807,1/7/2021,January,Family Clinic SE,0,SWEATER KNIT FLEECE  (ASHTON),9892,1,62,Ladies',Heather Black,L
63,20808,1/7/2021,January,MCHS Department of Nursing,0,HOODED TECH FULL-ZIP SWEATSHIRT (COMPETITION),2882,1,56,Ladies',Heather Blue,3XL
64,20808,1/7/2021,January,MCHS Department of Nursing,0,BONDED MOISTURE WICKING SOFT SHELL (HOODED PHANTOM),HD92,1,77,Ladies',Dark Ash/Black,3XL
65,20809,1/7/2021,January,Otorhinolaryngology Head and Neck Surgery,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Navy,M
66,20810,1/7/2021,January,Otorhinolaryngology Head and Neck Surgery,0,MARLED FLEECE JACKET (CASCADE),8872,1,60,Ladies',Space Grey,L
67,20811,1/7/2021,January,Otorhinolaryngology Head and Neck Surgery,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,60,Ladies',Navy,2XL
68,20812,1/7/2021,January,Otorhinolaryngology Head and Neck Surgery,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Black,S
69,20813,1/7/2021,January,Otorhinolaryngology Head and Neck Surgery,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Black,S
70,20814,1/7/2021,January,Otorhinolaryngology Head and Neck Surgery,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Black,M
71,20815,1/7/2021,January,MCHS Department of Nursing,0,SWEATER KNIT FLEECE  (ASHTON),9892,1,62,Ladies',Heather Teal,M
72,20816,1/7/2021,January,MCHS Department of Nursing,0,BONDED MOISTURE WICKING SOFT SHELL (HOODED PHANTOM),HD92,1,77,Ladies',Navy/Orange,3XL
73,20817,1/7/2021,January,MCHS Department of Nursing,0,MICRO FLEECE JACKET (SONOMA),8870,1,37,Ladies',Charcoal,2XL
74,20818,1/7/2021,January,MCHS Department of Nursing,0,MICRO FLEECE JACKET (SONOMA),8870,1,40,Ladies',Dark Ash,3XL
75,20819,1/7/2021,January,MCHS Department of Nursing,0,MICRO FLEECE JACKET (SONOMA),8870,1,34,Ladies',Charcoal,M
76,20820,1/7/2021,January,MCHS Department of Nursing,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Black,XL
77,20821,1/7/2021,January,MCHS Department of Nursing,0,MICRO FLEECE JACKET (SONOMA),8870,1,37,Ladies',Charcoal,2XL
78,20822,1/7/2021,January,MCHS Department of Nursing,0,HOODED TECH FULL-ZIP SWEATSHIRT (COMPETITION),2882,1,50,Ladies',Heather Plum,S
79,20822,1/7/2021,January,MCHS Department of Nursing,0,SWEATER KNIT FLEECE  (ASHTON),9892,1,62,Ladies',Heather Black,S
80,20823,1/7/2021,January,MCHS Department of Nursing,0,MICRO FLEECE JACKET (SONOMA),8870,1,34,Ladies',Dark Ash,S
81,20823,1/7/2021,January,MCHS Department of Nursing,0,BONDED SOFT-SHELL JACKET (MATRIX),9902,1,78,Ladies',Cream/Charcoal,S
82,20824,1/8/2021,January,Medical/Surgical Transplant,0,BONDED POLY-KNIT JACKET (FLASH),2812,2,58,Ladies',Navy,M
83,20825,1/8/2021,January,MCHS Department of Nursing,0,MICRO FLEECE JACKET (SONOMA),8870,1,37,Ladies',Charcoal,2XL
84,20826,1/8/2021,January,MCHS Department of Nursing,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Royal Blue,XL
85,20826,1/8/2021,January,MCHS Department of Nursing,0,HOODED TECH FULL-ZIP SWEATSHIRT (COMPETITION),2882,1,50,Ladies',Dark Ash,XL
86,20827,1/8/2021,January,MCHS,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Dark Ash,M
87,20828,1/8/2021,January,Family Clinic SE,0,BONDED ACTIVE-DRY SOFT SHELL (PHANTOM),HD01,1,71,Men's,Dark Loden,2XL
88,20829,1/8/2021,January,Otorhinolaryngology Head and Neck Surgery,0,HOODED TECH FULL-ZIP SWEATSHIRT (COMPETITION),2882,1,50,Ladies',Black,M
89,20829,1/8/2021,January,Otorhinolaryngology Head and Neck Surgery,0,LIGHTWEIGHT SOFT-SHELL (SONIC FLEX),9470,1,64,Ladies',Heather Blue,M
90,20830,1/8/2021,January,Outpatient Procedure Center,0,SWEATER KNIT FLEECE  (ASHTON),9892,1,62,Ladies',Heather Black,L
91,20831,1/8/2021,January,MCHS Department of Nursing,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Royal Blue,XL
92,20832,1/8/2021,January,MCHS Department of Nursing,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,62,Ladies',Royal Blue,3XL
93,20833,1/8/2021,January,Otorhinolaryngology Head and Neck Surgery,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Navy,M
94,20834,1/8/2021,January,MCHS Department of Nursing,0,HOODED TECH FULL-ZIP SWEATSHIRT (COMPETITION),2882,1,50,Ladies',Black,L
95,20834,1/8/2021,January,MCHS Department of Nursing,0,LIGHTWEIGHT SOFT-SHELL (SONIC FLEX),9470,1,64,Ladies',Black,L
96,20835,1/8/2021,January,Outpatient Procedure Center,0,SWEATER KNIT FLEECE  (ASHTON),9892,1,62,Ladies',Heather Black,S
97,20836,1/8/2021,January,"General, Colon Rectal, and Transplant Surgery",0,MICRO FLEECE JACKET (NANTUCKET),8824,1,43,Men's,Charcoal,3XL
98,20837,1/8/2021,January,Outpatient Procedure Center,0,BONDED MOISTURE WICKING SOFT SHELL (HOODED PHANTOM),HD92,1,71,Ladies',Navy/Orange,L
99,20838,1/8/2021,January,Medical/Surgical Transplant,0,MICRO FLEECE JACKET (NANTUCKET),8824,1,38,Men's,Navy,M
100,20838,1/8/2021,January,Medical/Surgical Transplant,0,MICRO FLEECE JACKET (NANTUCKET),8824,1,38,Men's,Maroon,M
101,20839,1/8/2021,January,MCHS,0,LIGHTWEIGHT SOFT-SHELL (SONIC FLEX),9470,1,68,Ladies',Black,2XL
102,20840,1/8/2021,January,MCHS Department of Nursing,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Black,L
103,20840,1/8/2021,January,MCHS Department of Nursing,0,SWEATER KNIT FLEECE  (ASHTON),9892,1,62,Ladies',Heather Black,L
104,20841,1/8/2021,January,MCHS Department of Nursing,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Royal Blue,M
105,20842,1/8/2021,January,MCHS Department of Nursing,0,HOODED TECH FULL-ZIP SWEATSHIRT (COMPETITION),2882,1,50,Ladies',Dark Ash,XL
106,20843,1/8/2021,January,Department of Pharmacy,0,BONDED SOFT-SHELL JACKET (MATRIX),9902,1,78,Ladies',Heather Teal,M
107,20844,1/8/2021,January,MCHS Department of Nursing,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Royal Blue,XL
108,20845,1/8/2021,January,Family Clinic SE,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Black,M
109,20846,1/8/2021,January,Family Clinic SE,0,MICRO FLEECE JACKET (NANTUCKET),8824,1,38,Men's,Dark Ash,S
110,20847,1/8/2021,January,MCHS Department of Nursing,0,BONDED SOFT-SHELL JACKET (MATRIX),9902,1,78,Ladies',Heather Eggplant,XL
111,20848,1/8/2021,January,Cardiovascular Research,0,LIGHTWEIGHT SOFT-SHELL (SONIC FLEX),9470,1,64,Ladies',Black,M
112,20849,1/8/2021,January,Medical/Surgical Transplant,0,MICRO FLEECE JACKET (SONOMA),8870,1,34,Ladies',Navy,M
113,20850,1/8/2021,January,MCHS Department of Nursing,0,BONDED SOFT-SHELL JACKET (MATRIX),9902,1,78,Ladies',Lime/Charcoal,M
114,20851,1/8/2021,January,MCHS,0,LIGHTWEIGHT SOFT-SHELL (SONIC FLEX),9470,1,64,Ladies',Black,M
115,20852,1/8/2021,January,MCHS Department of Nursing,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Black,L
116,20853,1/8/2021,January,MCHS,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Black,M
117,20854,1/8/2021,January,MCHS Department of Nursing,0,MICRO FLEECE JACKET (SONOMA),8870,1,34,Ladies',Charcoal,L
118,20855,1/8/2021,January,MCHS Department of Nursing,0,HOODED TECH FULL-ZIP SWEATSHIRT (COMPETITION),2882,1,53,Ladies',Dark Ash,2XL
119,20856,1/8/2021,January,Medical Cardiology Progressive Care,0,BONDED SOFT-SHELL JACKET (MATRIX),9901,1,78,Men's,Navy/Charcoal,S
120,20857,1/8/2021,January,"General, Colon Rectal, and Transplant Surgery",0,BONDED POLY-KNIT JACKET (FLASH),2812,1,62,Ladies',Heather Red,3XL
121,20858,1/9/2021,January,Cardiovascular Research,0,HOODED TECH FULL-ZIP SWEATSHIRT (COMPETITION),2882,1,50,Ladies',Dark Ash,XL
122,20858,1/9/2021,January,Cardiovascular Research,0,MICRO FLEECE JACKET (SONOMA),8870,1,37,Ladies',Charcoal,2XL
123,20859,1/9/2021,January,Medical Cardiology Progressive Care,0,MICRO FLEECE JACKET (NANTUCKET),8824,1,38,Men's,Navy,L
124,20860,1/9/2021,January,Medical Cardiology Progressive Care,0,BONDED SOFT-SHELL JACKET (MATRIX),9902,1,78,Ladies',Carbon,M
125,20861,1/9/2021,January,Medical Cardiology Progressive Care,0,MICRO FLEECE JACKET (SONOMA),8870,1,34,Ladies',Periwinkle,XL
126,20861,1/9/2021,January,Medical Cardiology Progressive Care,0,SWEATER KNIT FLEECE  (ASHTON),9892,1,62,Ladies',Heather Black,S
127,20862,1/10/2021,January,MCHS Department of Nursing,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Royal Blue,M
128,20863,1/10/2021,January,Medical Cardiology Progressive Care,0,SWEATER KNIT FLEECE  (ASHTON),9892,1,62,Ladies',Heather Mulberry,XS
129,20864,1/10/2021,January,MCHS,0,LIGHTWEIGHT SOFT-SHELL JACKET (SONIC FLEX),9440,1,64,Men's,Black,XL
130,20865,1/10/2021,January,MCHS Department of Nursing,0,SWEATER KNIT FLEECE  (ASHTON),9892,1,64,Ladies',Heather Black,2XL
131,20866,1/10/2021,January,MCHS Department of Nursing,0,SWEATER KNIT FLEECE  (ASHTON),9892,1,64,Ladies',Heather Black,2XL
132,20867,1/11/2021,January,Cardiovascular Research,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Black,XL
133,20868,1/11/2021,January,MCHS,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Black,M
134,20869,1/11/2021,January,Cardiovascular Research,0,MICRO FLEECE JACKET (SONOMA),8870,1,34,Ladies',Eggplant,L
135,20870,1/11/2021,January,MCHS,0,HOODED TECH FULL-ZIP SWEATSHIRT (COMPETITION),2882,1,50,Ladies',Black,M
136,20871,1/11/2021,January,Medical Cardiology Progressive Care,0,SWEATER KNIT FLEECE  (ASHTON),9892,1,62,Ladies',Heather Black,L
137,20872,1/11/2021,January,Cardiovascular Research,0,MICRO FLEECE JACKET (SONOMA),8870,1,34,Ladies',Charcoal,S
138,20873,1/11/2021,January,MCHS,0,LIGHTWEIGHT SOFT-SHELL (SONIC FLEX),9470,1,64,Ladies',Black,M
139,20874,1/11/2021,January,Cardiovascular Research,0,MICRO FLEECE JACKET (NANTUCKET),8824,1,38,Men's,Charcoal,XL
140,20875,1/11/2021,January,Otorhinolaryngology Head and Neck Surgery,0,SWEATER KNIT FLEECE  (ASHTON),9892,1,62,Ladies',Heather Black,S
141,20876,1/11/2021,January,MCHS - Urgent Care,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Black,L
142,20876,1/11/2021,January,MCHS - Urgent Care,0,MICRO FLEECE JACKET (SONOMA),8870,1,34,Ladies',Navy,L
143,20876,1/11/2021,January,MCHS - Urgent Care,0,SWEATER KNIT FLEECE  (ASHTON),9892,1,62,Ladies',Heather Black,L
144,20877,1/11/2021,January,MCHS - Urgent Care,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Black,L
145,20877,1/11/2021,January,MCHS - Urgent Care,0,SWEATER KNIT FLEECE  (ASHTON),9892,1,62,Ladies',Heather Black,L
146,20878,1/11/2021,January,MCHS - Urgent Care,0,MICRO FLEECE JACKET (SONOMA),8870,1,34,Ladies',Black,L
147,20878,1/11/2021,January,MCHS - Urgent Care,0,SWEATER KNIT FLEECE  (ASHTON),9892,1,62,Ladies',Heather Black,L
148,20879,1/11/2021,January,Family Clinic SE,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Navy,M
149,20880,1/11/2021,January,Family Clinic SE,0,MICRO FLEECE JACKET (SONOMA),8870,1,37,Ladies',Heather Russet,2XL
150,20881,1/11/2021,January,Outpatient Procedure Center,0,SWEATER KNIT FLEECE  (ASHTON),9892,1,62,Ladies',Heather Indigo,L
151,20882,1/11/2021,January,Family Clinic SE,0,HOODED TECH FULL-ZIP SWEATSHIRT (COMPETITION),2882,1,50,Ladies',Heather Plum,M
152,20883,1/11/2021,January,Cardiology,0,MICRO FLEECE JACKET (SONOMA),8870,1,34,Ladies',Black,S
153,20884,1/11/2021,January,MCHS,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,60,Ladies',Black,2XL
154,20885,1/11/2021,January,Cardiovascular Research,0,SWEATER KNIT FLEECE  (ASHTON),9892,1,62,Ladies',Heather Black,S
155,20886,1/11/2021,January,MCHS - Urgent Care,0,MICRO FLEECE JACKET (SONOMA),8870,1,34,Ladies',Navy,S
156,20886,1/11/2021,January,MCHS - Urgent Care,0,MARLED FLEECE JACKET (CASCADE),8872,1,60,Ladies',Plum,S
157,20886,1/11/2021,January,MCHS - Urgent Care,0,SWEATER KNIT FLEECE  (ASHTON),9892,1,62,Ladies',Heather Black,S
158,20887,1/11/2021,January,Medical Cardiology Progressive Care,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Navy,L
159,20887,1/11/2021,January,Medical Cardiology Progressive Care,0,HOODED TECH FULL-ZIP SWEATSHIRT (COMPETITION),2882,1,50,Ladies',Dark Ash,L
160,20888,1/11/2021,January,Medical Cardiology Progressive Care,0,BONDED SOFT-SHELL JACKET (MATRIX),9902,1,78,Ladies',Black/Charcoal,M
161,20889,1/11/2021,January,Family Clinic SE,0,BONDED SOFT-SHELL JACKET (MATRIX),9902,1,78,Ladies',Carbon,L
162,20890,1/11/2021,January,Otorhinolaryngology Head and Neck Surgery,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Black,M
163,20891,1/11/2021,January,Inpatient Dialysis,0,MICRO FLEECE JACKET (SONOMA),8870,1,34,Ladies',Navy,L
164,20892,1/11/2021,January,Medical Cardiology Progressive Care,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Navy,L
165,20893,1/11/2021,January,Medical Cardiology Progressive Care,0,MICRO FLEECE JACKET (SONOMA),8870,1,34,Ladies',Navy,M
166,20894,1/11/2021,January,MCHS,0,HOODED TECH FULL-ZIP SWEATSHIRT (COMPETITION),2882,1,56,Ladies',Black,3XL
167,20895,1/12/2021,January,Medical/Surgical Transplant,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Navy,M
168,20896,1/12/2021,January,Department of Pharmacy,0,HOODED TECH FULL-ZIP SWEATSHIRT (COMPETITION),2880,1,58,Men's,Navy,4XL
169,20898,1/12/2021,January,Family Clinic SE,5,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Black,M
170,20899,1/12/2021,January,Cardiovascular Research,0,SWEATER KNIT FLEECE  (ASHTON),9892,1,62,Ladies',Heather Black,L
171,20900,1/12/2021,January,Medical/Surgical Transplant,0,SWEATER KNIT FLEECE  (ASHTON),9892,1,62,Ladies',Heather Indigo,L
172,20901,1/12/2021,January,Family Medicine,0,BONDED ACTIVE-DRY SOFT SHELL (PHANTOM),HD01,1,68,Men's,Dark Loden,L
173,20902,1/12/2021,January,Cardiology,0,MARLED FLEECE JACKET  (CASCADE),8874,1,60,Men's,Dark Blue,XL
174,20902,1/12/2021,January,Cardiology,0,SWEATER KNIT FLEECE  (ASHTON),9892,1,62,Ladies',Heather Black,L
175,20902,1/12/2021,January,Cardiology,0,BONDED MOISTURE WICKING SOFT SHELL (HOODED PHANTOM),HD92,1,71,Ladies',Dark Ash/Black,L
176,20903,1/12/2021,January,Division of Gastroenterology and Hepatology,0,HOODED TECH FULL-ZIP SWEATSHIRT (COMPETITION),2882,1,50,Ladies',Dark Ash,L
177,20904,1/12/2021,January,Division of Gastroenterology and Hepatology,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Navy,XL
178,20905,1/12/2021,January,Division of Gastroenterology and Hepatology,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Red,XL
179,20906,1/12/2021,January,Division of Gastroenterology and Hepatology,0,HOODED TECH FULL-ZIP SWEATSHIRT (COMPETITION),2882,1,50,Ladies',Heather Blue,M
180,20907,1/12/2021,January,Division of Gastroenterology and Hepatology,0,HOODED TECH FULL-ZIP SWEATSHIRT (COMPETITION),2882,1,53,Ladies',Dark Ash,2XL
181,20908,1/12/2021,January,Division of Gastroenterology and Hepatology,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Black,L
182,20909,1/12/2021,January,Medical/Surgical Transplant,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Navy,M
183,20910,1/13/2021,January,Division of Gastroenterology and Hepatology,0,LIGHTWEIGHT SOFT-SHELL (SONIC FLEX),9470,1,64,Ladies',Black,M
184,20912,1/13/2021,January,Cardiology,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Navy,XL
185,20912,1/13/2021,January,Cardiology,0,MICRO FLEECE JACKET (SONOMA),8870,1,34,Ladies',Navy,XL
186,20913,1/13/2021,January,Division of Gastroenterology and Hepatology,0,SWEATER KNIT FLEECE (ASHTON),9890,1,64,Men's,Heather Redwood,2XL
187,20914,1/13/2021,January,Outpatient Procedure Center,0,HOODED TECH FULL-ZIP SWEATSHIRT (COMPETITION),2882,1,50,Ladies',Heather Blue,L
188,20915,1/13/2021,January,Outpatient Procedure Center,0,HOODED TECH FULL-ZIP SWEATSHIRT (COMPETITION),2882,1,50,Ladies',Dark Ash,XL
189,20916,1/13/2021,January,Department of Pharmacy,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Royal Blue,L
190,20916,1/13/2021,January,Department of Pharmacy,0,BONDED POLY-KNIT JACKET (FLASH),2814,1,58,Men's,Black,M
191,20916,1/13/2021,January,Department of Pharmacy,0,MICRO FLEECE JACKET (SONOMA),8870,1,34,Ladies',Black,L
192,20917,1/13/2021,January,Cardiology,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Space Blue,L
